DATE	ILI
08-Oct-11	0
15-Oct-11	0
22-Oct-11	0
29-Oct-11	1
05-Nov-11	0
12-Nov-11	0
19-Nov-11	1
26-Nov-11	1
03-Dec-11	0
10-Dec-11	1
17-Dec-11	1
24-Dec-11	3
31-Dec-11	4
07-Jan-12	4
14-Jan-12	1
21-Jan-12	6
28-Jan-12	3
04-Feb-12	5
11-Feb-12	8
18-Feb-12	10
25-Feb-12	22
03-Mar-12	25
10-Mar-12	34
17-Mar-12	36
24-Mar-12	60
31-Mar-12	103
07-Apr-12	110
14-Apr-12	110
21-Apr-12	118
28-Apr-12	75
05-May-12	41
12-May-12	38
19-May-12	21
26-May-12	44
02-Jun-12	32
09-Jun-12	8
16-Jun-12	17
23-Jun-12	6
30-Jun-12	3
07-Jul-12	2
14-Jul-12	0
21-Jul-12	0
28-Jul-12	0
04-Aug-12	1
11-Aug-12	0
18-Aug-12	2
25-Aug-12	0
01-Sep-12	0
08-Sep-12	0
15-Sep-12	0
22-Sep-12	0
29-Sep-12	2
06-Oct-12	2
13-Oct-12	1
20-Oct-12	2
27-Oct-12	1
03-Nov-12	6
10-Nov-12	4
17-Nov-12	8
24-Nov-12	10
01-Dec-12	9
08-Dec-12	36
15-Dec-12	37
22-Dec-12	64
29-Dec-12	84
05-Jan-13	97
12-Jan-13	124
19-Jan-13	126
26-Jan-13	135
02-Feb-13	94
09-Feb-13	60
16-Feb-13	37
23-Feb-13	27
02-Mar-13	16
09-Mar-13	15
16-Mar-13	18
23-Mar-13	9
30-Mar-13	9
06-Apr-13	3
13-Apr-13	4
20-Apr-13	5
27-Apr-13	4
04-May-13	0
11-May-13	0
18-May-13	0
25-May-13	0
01-Jun-13	2
08-Jun-13	1
15-Jun-13	0
22-Jun-13	0
29-Jun-13	1
06-Jul-13	0
13-Jul-13	1
20-Jul-13	0
27-Jul-13	0
03-Aug-13	1
10-Aug-13	0
17-Aug-13	1
24-Aug-13	0
31-Aug-13	0
07-Sep-13	1
14-Sep-13	0
21-Sep-13	2
28-Sep-13	2
05-Oct-13	2
12-Oct-13	5
19-Oct-13	0
26-Oct-13	0
02-Nov-13	2
09-Nov-13	1
16-Nov-13	3
23-Nov-13	4
30-Nov-13	8
07-Dec-13	7
14-Dec-13	19
21-Dec-13	49
28-Dec-13	76
04-Jan-14	98
11-Jan-14	100
18-Jan-14	78
25-Jan-14	55
01-Feb-14	44
08-Feb-14	30
15-Feb-14	42
22-Feb-14	29
01-Mar-14	14
08-Mar-14	8
15-Mar-14	7
22-Mar-14	7
29-Mar-14	7
05-Apr-14	7
12-Apr-14	8
19-Apr-14	6
26-Apr-14	3
03-May-14	3
10-May-14	8
17-May-14	6
24-May-14	1
31-May-14	1
07-Jun-14	1
14-Jun-14	5
21-Jun-14	8
28-Jun-14	3
05-Jul-14	4
12-Jul-14	3
19-Jul-14	1
26-Jul-14	1
02-Aug-14	2
09-Aug-14	1
16-Aug-14	0
23-Aug-14	0
30-Aug-14	1
06-Sep-14	0
13-Sep-14	0
20-Sep-14	0
27-Sep-14	2
