TIME	ILI
1	1.0182625
2	1.0277612
3	1.0639969
4	1.1905612
5	1.4084178
6	1.5827422
7	1.6208612
8	1.6759061
9	1.5745535
10	1.6066229
11	1.7106306
12	2.2792474
13	1.8068007
14	1.8661751
15	2.1401709
16	2.5510224
17	2.5031916
18	2.2976164
19	2.6785102
20	2.5733084
21	2.7865865
22	3.4045816
23	3.41678
24	3.0888159
25	2.5773618
26	1.799605
27	1.6399721
28	1.749363
29	1.5837075
30	1.5412636
31	1.7139872
32	1.6354259
33	1.5568647
34	1.7052051
35	1.376412
36	1.191516
37	1.0066199
38	1.3822675
39	0.7837856
40	1.1730892
41	0.5963976
42	0.5959322
43	0.9609648
44	1.0529282
45	1.0772344
46	0.7649189
47	1.6552013
48	1.8155954
49	1.5346094
50	1.4572353
51	1.3569614
52	1.9872582
53	1.5138656
54	2.0065693
55	2.2260039
56	2.0710148
57	2.5063663
58	2.8733761
59	3.2439101
60	3.8463231
61	3.8614754
62	4.0709702
63	6.9316665
64	9.9104153
65	9.9724415
66	11.1420884
67	11.4926166
68	9.9437452
69	7.9006975
70	5.9969182
71	4.9618683
72	4.2227529
73	3.3154752
74	3.1852044
75	3.0232268
76	2.3589581
77	2.2520635
78	2.1278489
79	2.0316798
80	1.9442739
81	1.7971288
82	1.7305119
83	1.701783
84	1.718105
85	1.6543344
86	1.5202071
87	1.3283149
88	1.024056
89	1.1746365
90	0.921196
91	0.8272583
92	0.8583618
93	0.7841946
94	0.9464867
95	0.8906089
96	0.8347311
97	0.7788532
98	0.7229754
99	1.1904066
100	1.4247514
101	1.5796809
102	1.8292621
103	1.9690906
104	2.0177883
105	1.9611868
106	2.1315124
107	2.2522615
108	2.4758333
109	2.534437
110	2.8119087
111	3.0476679
112	3.1525931
113	4.0427421
114	4.5006279
115	5.4673817
116	8.2229708
117	9.6443558
118	9.8297158
119	9.9239743
120	8.2210065
121	7.2040532
122	6.3959662
123	5.1864007
124	4.6408636
125	4.6180139
126	4.4843387
127	4.3536613
128	3.7419233
129	3.5515879
130	3.4359864
131	3.5549329
132	3.3464951
133	2.5056307
134	2.4575008
135	2.3367321
136	1.905145
137	1.8606908
138	1.8928285
139	1.5038541
140	1.6573386
141	1.4227679
142	1.1918485
143	1.1022924
144	1.0631427
145	0.9603994
146	0.8096901
147	0.77664
148	0.791806
149	0.7806531
150	0.7259904
151	0.84148
152	1.0993156
153	1.3245704
154	1.473631
155	1.620227
156	1.6545058
